Name                          Total    Bin.1,    Bin.2,
BBa_J23103--apFAB832           7266      4511      2755
apFAB312--BBa_J61120           7264      4335      2929
BBa_J23116--BBa_J61103         7261      4350      2911
BBa_J23116--BBa_J61131         7261      4460      2801
BBa_J23108--BBa_J61129         7249      4398      2851
BBa_J23103--apFAB918           7248      4347      2901
apFAB124--BBa_J61132           7247      4272      2975
BBa_J23108--BBa_J61118         7245      4370      2875
apFAB40--DeadRBS               7241      4300      2941
apFAB63--BBa_J61113            7236      4386      2850
BBa_J23105--BBa_J61134         7233      4415      2818
apFAB311--apFAB864             7233      4337      2896
apFAB322--apFAB843             7229      4231      2998
BBa_J23106--apFAB864           7224      4306      2918
apFAB300--BBa_J61120           7223      4347      2876
apFAB259--BBa_J61134           7220      4309      2911
apFAB306--BBa_J61103           7216      4417      2799
apFAB124--apFAB845             7213      4239      2974
BBa_J23115--apFAB904           7213      4237      2976
BBa_J23115--BBa_J61125         7211      4343      2868
apFAB114--apFAB914             7208      4283      2925
apFAB277--apFAB831             7204      4277      2927
BBa_J23102--BBa_J61108         7203      4348      2855
BBa_J23117--apFAB831           7203      4390      2813
BBa_J23115--salis-4-10         7200      4419      2781
apFAB342--apFAB868             7199      4246      2953
BBa_J23115--BBa_J61112         7197      4361      2836
apFAB338--apFAB843             7192      4239      2953
apFAB302--BBa_J61120           7187      4221      2966
apFAB114--salis-4-10           7183      4248      2935
apFAB312--BBa_J61130           7179      4371      2808
BBa_J23109--apFAB854           7179      4252      2927
BBa_J23107--apFAB872           7177      4293      2884
apFAB346--apFAB869             7173      4253      2920
BBa_J23116--apFAB889           7170      4188      2982
apFAB312--apFAB866             7167      4290      2877
apFAB312--BBa_J61108           7162      4307      2855
apFAB300--BBa_J61103           7156      4347      2809
apFAB311--apFAB901             7154      4315      2839
BBa_J23102--apFAB843           7154      4382      2772
apFAB300--apFAB865             7152      4179      2973
apFAB312--BBa_J61111           7150      4280      2870
apFAB277--apFAB844             7148      4303      2845
apFAB109--apFAB843             7142      4235      2907
BBa_J23103--BBa_J61137         7136      4268      2868
BBa_J23103--apFAB914           7136      4390      2746
BBa_J23108--apFAB821           7133      4270      2863
BBa_J23108--BBa_J61128         7132      4290      2842
apFAB109--apFAB914             7129      4349      2780
apFAB124--BBa_J61136           7127      4236      2891
apFAB104--BBa_J61109           7126      4245      2881
apFAB109--BBa_J61109           7123      4233      2890
apFAB114--apFAB861             7122      4270      2852
apFAB114--Alon_RBS             7122      4336      2786
BBa_J23116--BBa_J61108         7120      4271      2849
BBa_J23118--apFAB843           7120      4236      2884
apFAB114--apFAB843             7117      4121      2996
apFAB82--DeadRBS               7117      4251      2866
apFAB109--apFAB912             7116      4236      2880
apFAB277--BBa_J61119           7113      4284      2829
apFAB300--apFAB851             7113      4304      2809
BBa_J23117--BBa_J61134         7110      4367      2743
apFAB62--apFAB864              7106      4141      2965
apFAB346--apFAB872             7105      4297      2808
apFAB338--BBa_J61131           7103      4106      2997
BBa_J23117--apFAB910           7100      4252      2848
BBa_J23115--salis-4-4          7099      4272      2827
apFAB306--apFAB868             7098      4251      2847
apFAB312--apFAB868             7096      4268      2828
apFAB342--apFAB894             7095      4172      2923
apFAB124--BBa_J61120           7093      4178      2915
apFAB104--apFAB864             7089      4255      2834
apFAB306--apFAB872             7088      4231      2857
BBa_J23103--apFAB894           7087      4294      2793
BBa_J23102--Anderson_RBS       7084      4289      2795
apFAB104--BBa_J61113           7074      4176      2898
BBa_J23105--apFAB954           7071      4324      2747
apFAB300--apFAB895             7070      4268      2802
BBa_J23105--apFAB883           7067      4346      2721
BBa_J23118--BBa_J61124         7064      4301      2763
apFAB109--B0030_RBS            7063      4196      2867
apFAB109--BBa_J61110           7063      4173      2890
apFAB311--BBa_J61119           7058      4279      2779
BBa_J23115--BBa_J61103         7058      4321      2737
BBa_J23108--BBa_J61137         7057      4189      2868
BBa_J23100--apFAB890           7056      4177      2879
apFAB64--BBa_J61125            7056      4286      2770
BBa_J23116--apFAB820           7053      4188      2865
apFAB134--apFAB872             7052      4222      2830
BBa_J23108--BBa_J61100         7041      4244      2797
BBa_J23116--apFAB854           7038      4303      2735
BBa_J23108--apFAB890           7037      4191      2846
apFAB114--BBa_J61106           7028      4151      2877
apFAB104--apFAB954             7026      4277      2749
apFAB323--BBa_J61131           7021      4174      2847
apFAB311--BBa_J61134           7017      4257      2760
BBa_J23113--apFAB857           7007      4346      2661
apFAB312--apFAB854             7003      4245      2758
BBa_J23117--apFAB832           7000      4305      2695
BBa_J23113--BBa_J61120         6999      4169      2830
BBa_J23109--apFAB922           6999      4205      2794
apFAB115--BBa_J61125           6996      4202      2794
BBa_J23115--BBa_J61136         6995      4167      2828
apFAB124--BBa_J61118           6993      4176      2817
apFAB109--BBa_J61130           6991      4149      2842
apFAB338--BBa_J61120           6985      4029      2956
apFAB114--BBa_J61118           6982      4291      2691
BBa_J23116--apFAB831           6982      4181      2801
apFAB109--JBEI_RBS             6978      4145      2833
apFAB339--BBa_J61133           6973      4193      2780
apFAB124--apFAB865             6971      4164      2807
apFAB342--apFAB954             6969      4046      2923
BBa_J23115--BBa_J61115         6968      4175      2793
BBa_J23117--BBa_J61136         6967      4298      2669
apFAB114--BBa_J61120           6967      4171      2796
apFAB300--BBa_J61139           6966      4201      2765
BBa_J23105--apFAB854           6962      4170      2792
BBa_J23103--apFAB845           6960      4180      2780
apFAB300--BBa_J61119           6959      4150      2809
apFAB114--apFAB865             6959      4217      2742
apFAB317--apFAB864             6958      4088      2870
apFAB277--apFAB868             6956      4239      2717
BBa_J23117--BBa_J61132         6953      4202      2751
apFAB63--BBa_J61119            6952      4192      2760
apFAB311--apFAB883             6952      4236      2716
apFAB259--apFAB857             6951      4224      2727
apFAB57--apFAB868              6950      4148      2802
apFAB322--apFAB864             6948      4139      2809
apFAB124--apFAB842             6945      4189      2756
apFAB58--apFAB876              6939      4131      2808
apFAB124--apFAB821             6936      4166      2770
BBa_J23103--apFAB883           6931      4132      2799
BBa_J23114--apFAB837           6923      4145      2778
apFAB78--apFAB865              6923      4081      2842
BBa_J23105--Anderson_RBS       6921      4209      2712
apFAB109--BBa_J61112           6920      4133      2787
BBa_J23103--apFAB844           6918      4118      2800
apFAB300--apFAB826             6916      4100      2816
apFAB300--BBa_J61106           6916      4097      2819
apFAB338--apFAB901             6913      4019      2894
apFAB78--BBa_J61134            6912      4071      2841
BBa_J23108--apFAB860           6911      4281      2630
BBa_J23103--apFAB869           6907      4206      2701
BBa_J23105--apFAB872           6906      4264      2642
apFAB63--BBa_J61136            6905      4136      2769
BBa_J23105--apFAB894           6902      4231      2671
BBa_J23117--BBa_J61107         6900      4227      2673
apFAB306--BBa_J61134           6898      4118      2780
BBa_J23113--apFAB865           6897      4150      2747
BBa_J23116--apFAB890           6894      4264      2630
apFAB277--apFAB843             6888      4146      2742
BBa_J23118--BBa_J61108         6884      4238      2646
apFAB63--BBa_J61125            6880      4036      2844
BBa_J23109--apFAB883           6880      4083      2797
apFAB114--BBa_J61134           6874      4002      2872
apFAB277--apFAB894             6873      4101      2772
BBa_J23116--apFAB862           6873      4160      2713
apFAB259--apFAB826             6872      4160      2712
BBa_J23114--apFAB901           6868      4134      2734
apFAB311--BBa_J61129           6867      4134      2733
apFAB104--apFAB904             6866      4125      2741
apFAB300--apFAB876             6864      4010      2854
BBa_J23116--BBa_J61111         6862      4214      2648
BBa_J23116--BBa_J61127         6856      4119      2737
apFAB300--apFAB927             6855      3993      2862
apFAB322--apFAB903             6852      4085      2767
BBa_J23115--apFAB871           6842      4094      2748
apFAB259--apFAB910             6841      4190      2651
BBa_J23113--Anderson_RBS       6841      4059      2782
apFAB75--apFAB868              6837      3990      2847
apFAB338--apFAB865             6835      4016      2819
apFAB300--apFAB833             6835      4112      2723
apFAB277--apFAB834             6834      4155      2679
apFAB311--apFAB832             6834      4081      2753
BBa_J23106--apFAB904           6833      4049      2784
apFAB114--BBa_J61119           6831      3997      2834
BBa_J23105--apFAB903           6829      4247      2582
BBa_J23108--salis-1-21         6829      4103      2726
BBa_J23109--apFAB876           6828      4092      2736
apFAB149--B0030_RBS            6826      3957      2869
BBa_J23117--apFAB869           6825      4197      2628
apFAB55--BBa_J61136            6824      4024      2800
apFAB302--BBa_J61108           6816      4091      2725
apFAB124--apFAB901             6807      4015      2792
apFAB342--apFAB865             6807      4065      2742
apFAB300--apFAB904             6806      4060      2746
BBa_J23105--apFAB864           6805      4083      2722
apFAB78--apFAB872              6802      4037      2765
BBa_J23115--apFAB894           6798      4165      2633
apFAB277--BBa_J61126           6798      4079      2719
BBa_J23104--apFAB873           6794      4090      2704
apFAB300--apFAB964             6792      4003      2789
